Scheme_ID,Scheme_Name,Scheme_Name_Hi,Scheme_Name_Mr,Ministry,Category,Description,Description_Hi,Description_Mr,Eligibility_Age_Min,Eligibility_Age_Max,Max_Income_Allowed,Min_Land_Acres,Occupation_Required,Caste_Eligibility,Gender_Eligibility,Benefits,Benefits_Hi,Benefits_Mr,Apply_URL,State_Availability,Name,Name_Hi,Name_Mr,Eligibility,How_To_Apply
S001,PM-KISAN,पीएम-किसान,पीएम-किसान,Ministry of Agriculture,Farmer,Income support of ₹6000/year for small/marginal farmers,छोटे और सीमांत किसानों को ₹6000/वर्ष की आय सहायता,लहान आणि सीमांत शेतकऱ्यांना ₹6000/वर्ष उत्पन्न सहाय्य,18,75,200000,0.0,farmer,all,all,₹6000/year in 3 installments of ₹2000 each,₹6000/वर्ष 3 किश्तों में,₹6000/वर्ष 3 हप्त्यांमध्ये,https://pmkisan.gov.in,All States,PM-KISAN,पीएम-किसान,पीएम-किसान,See eligibility criteria,https://pmkisan.gov.in
S002,PM Awas Yojana (Gramin),पीएम आवास योजना (ग्रामीण),पीएम आवास योजना (ग्रामीण),Ministry of Rural Development,Housing,Financial assistance for rural poor to construct/upgrade homes,ग्रामीण गरीबों को घर बनाने/उन्नत करने के लिए वित्तीय सहायता,ग्रामीण गरीबांना घर बांधण्यासाठी आर्थिक सहाय्य,18,70,120000,0.0,all,all,all,₹1.2 lakh for plain areas ₹1.3 lakh for hilly areas,मैदानी क्षेत्र ₹1.2 लाख पहाड़ी क्षेत्र ₹1.3 लाख,सपाट भागात ₹1.2 लाख डोंगराळ भागात ₹1.3 लाख,https://pmayg.nic.in,All States,PM Awas Yojana (Gramin),पीएम आवास योजना (ग्रामीण),पीएम आवास योजना (ग्रामीण),See eligibility criteria,https://pmayg.nic.in
S003,Ayushman Bharat PM-JAY,आयुष्मान भारत पीएम-जेएवाई,आयुष्मान भारत पीएम-जेएवाई,Ministry of Health,Health,Health insurance coverage of ₹5 lakh per family per year,परिवार को प्रति वर्ष ₹5 लाख का स्वास्थ्य बीमा कवरेज,कुटुंबाला प्रति वर्ष ₹5 लाख आरोग्य विमा संरक्षण,0,75,100000,0.0,all,all,all,₹5 lakh health cover per family hospitalization benefits,₹5 लाख स्वास्थ्य कवर प्रति परिवार,₹5 लाख आरोग्य कव्हर प्रति कुटुंब,https://pmjay.gov.in,All States,Ayushman Bharat PM-JAY,आयुष्मान भारत पीएम-जेएवाई,आयुष्मान भारत पीएम-जेएवाई,See eligibility criteria,https://pmjay.gov.in
S004,MGNREGA,मनरेगा,मनरेगा,Ministry of Rural Development,Employment,Guaranteed 100 days of wage employment to rural households,ग्रामीण परिवारों को 100 दिनों का रोजगार गारंटी,ग्रामीण कुटुंबांना 100 दिवसांचा रोजगार हमी,18,65,150000,0.0,laborer,all,all,100 days guaranteed employment min wage ₹200/day,100 दिन का गारंटीशुदा रोजगार न्यूनतम मजदूरी ₹200/दिन,100 दिवसांचा हमी रोजगार किमान वेतन ₹200/दिन,https://nrega.nic.in,All States,MGNREGA,मनरेगा,मनरेगा,See eligibility criteria,https://nrega.nic.in
S005,PM Ujjwala Yojana,पीएम उज्ज्वला योजना,पीएम उज्ज्वला योजना,Ministry of Petroleum,Women,Free LPG connection to women from BPL households,बीपीएल परिवारों की महिलाओं को मुफ्त एलपीजी कनेक्शन,बीपीएल कुटुंबातील महिलांना मोफत एलपीजी कनेक्शन,18,60,100000,0.0,all,all,female,Free LPG connection first refill free deposit free,मुफ्त एलपीजी कनेक्शन पहला रिफिल मुफ्त,मोफत एलपीजी कनेक्शन पहला रिफिल मोफत,https://pmuy.gov.in,All States,PM Ujjwala Yojana,पीएम उज्ज्वला योजना,पीएम उज्ज्वला योजना,See eligibility criteria,https://pmuy.gov.in
S006,Kisan Credit Card,किसान क्रेडिट कार्ड,किसान क्रेडिट कार्ड,Ministry of Agriculture,Farmer,Credit facility to farmers for agricultural needs,किसानों को कृषि जरूरतों के लिए ऋण सुविधा,शेतकऱ्यांना कृषी गरजांसाठी कर्ज सुविधा,18,75,300000,0.5,farmer,all,all,Credit up to ₹3 lakh at subsidized interest 7%,₹3 लाख तक ऋण 7% सब्सिडी ब्याज पर,₹3 लाखापर्यंत कर्ज 7% अनुदानित व्याजावर,https://www.pmksy.gov.in,All States,Kisan Credit Card,किसान क्रेडिट कार्ड,किसान क्रेडिट कार्ड,See eligibility criteria,https://www.pmksy.gov.in
S007,PM Fasal Bima Yojana,प्रधानमंत्री फसल बीमा योजना,प्रधानमंत्री फसल बीमा योजना,Ministry of Agriculture,Farmer,Crop insurance to protect farmers against losses,किसानों को नुकसान से बचाने के लिए फसल बीमा,शेतकऱ्यांचे नुकसान टाळण्यासाठी पीक विमा,18,75,500000,0.5,farmer,all,all,Crop loss compensation premium 2% for kharif 1.5% rabi,फसल हानि मुआवजा खरीफ 2% रबी 1.5% प्रीमियम,पीक नुकसान भरपाई खरीफ 2% रबी 1.5% प्रीमियम,https://pmfby.gov.in,All States,PM Fasal Bima Yojana,प्रधानमंत्री फसल बीमा योजना,प्रधानमंत्री फसल बीमा योजना,See eligibility criteria,https://pmfby.gov.in
S008,Scholarship SC/ST,एससी/एसटी छात्रवृत्ति,एससी/एसटी शिष्यवृत्ती,Ministry of Social Justice,Education,Post-matric scholarship for SC/ST students,एससी/एसटी छात्रों के लिए पोस्ट-मैट्रिक छात्रवृत्ति,एससी/एसटी विद्यार्थ्यांसाठी पोस्ट-मॅट्रिक शिष्यवृत्ती,15,30,250000,0.0,student,sc-st,all,Full tuition fee maintenance allowance books,पूरी ट्यूशन फीस रखरखाव भत्ता किताबें,पूर्ण ट्यूशन फी देखभाल भत्ता पुस्तके,https://scholarships.gov.in,All States,Scholarship SC/ST,एससी/एसटी छात्रवृत्ति,एससी/एसटी शिष्यवृत्ती,See eligibility criteria,https://scholarships.gov.in
S009,PM SVANidhi,पीएम स्वनिधि,पीएम स्वनिधि,Ministry of Housing,Business,Micro-credit for street vendors to restart livelihoods,स्ट्रीट वेंडरों को आजीविका पुनः शुरू करने के लिए माइक्रो-क्रेडिट,फेरीवाल्यांना उपजीविका पुन्हा सुरू करण्यासाठी मायक्रो-क्रेडिट,18,65,150000,0.0,business,all,all,Loan ₹10000 first ₹20000 second ₹50000 third tranche,पहली किश्त ₹10000 दूसरी ₹20000 तीसरी ₹50000,पहिला हप्ता ₹10000 दुसरा ₹20000 तिसरा ₹50000,https://pmsvanidhi.mohua.gov.in,All States,PM SVANidhi,पीएम स्वनिधि,पीएम स्वनिधि,See eligibility criteria,https://pmsvanidhi.mohua.gov.in
S010,Sukanya Samriddhi Yojana,सुकन्या समृद्धि योजना,सुकन्या समृद्धि योजना,Ministry of Finance,Girl Child,Savings scheme for girl child education and marriage,बालिका की शिक्षा और विवाह के लिए बचत योजना,मुलीच्या शिक्षण आणि विवाहासाठी बचत योजना,0,10,500000,0.0,all,all,female,8.2% interest tax free maturity at 21 years,8.2% ब्याज कर मुक्त 21 वर्ष में परिपक्वता,8.2% व्याज करमुक्त 21 वर्षांनी परिपक्वता,https://www.indiapost.gov.in,All States,Sukanya Samriddhi Yojana,सुकन्या समृद्धि योजना,सुकन्या समृद्धि योजना,See eligibility criteria,https://www.indiapost.gov.in
S011,Atal Pension Yojana,अटल पेंशन योजना,अटल पेंशन योजना,Ministry of Finance,Pension,Pension scheme for unorganized sector workers,असंगठित क्षेत्र के कर्मचारियों के लिए पेंशन योजना,असंघटित क्षेत्रातील कामगारांसाठी निवृत्ती वेतन योजना,18,40,200000,0.0,laborer,all,all,Monthly pension ₹1000 to ₹5000 after age 60,60 वर्ष बाद मासिक पेंशन ₹1000 से ₹5000,60 वर्षानंतर मासिक निवृत्ती वेतन ₹1000 ते ₹5000,https://npscra.nsdl.co.in,All States,Atal Pension Yojana,अटल पेंशन योजना,अटल पेंशन योजना,See eligibility criteria,https://npscra.nsdl.co.in
S012,Pradhan Mantri Mudra Yojana,प्रधानमंत्री मुद्रा योजना,प्रधानमंत्री मुद्रा योजना,Ministry of Finance,Business,Loans to non-corporate small businesses,गैर-कॉर्पोरेट लघु व्यवसायों को ऋण,गैर-कॉर्पोरेट लघु व्यवसायांना कर्ज,18,65,1000000,0.0,business,all,all,Shishu ₹50k Kishore ₹5L Tarun ₹10L no collateral,शिशु ₹50k किशोर ₹5L तरुण ₹10L बिना गारंटी,शिशु ₹50k किशोर ₹5L तरुण ₹10L विना जामीन,https://www.mudra.org.in,All States,Pradhan Mantri Mudra Yojana,प्रधानमंत्री मुद्रा योजना,प्रधानमंत्री मुद्रा योजना,See eligibility criteria,https://www.mudra.org.in
S013,National Social Assistance,राष्ट्रीय सामाजिक सहायता,राष्ट्रीय सामाजिक सहाय्य,Ministry of Rural Development,Senior Citizen,Pension to elderly widows disabled BPL persons,वृद्ध विधवाओं विकलांग बीपीएल व्यक्तियों को पेंशन,वृद्ध विधवा अपंग बीपीएल व्यक्तींना निवृत्ती वेतन,60,100,100000,0.0,all,all,all,₹200-₹500/month pension free ration disability support,₹200-₹500/माह पेंशन मुफ्त राशन,₹200-₹500/महिना निवृत्ती वेतन मोफत रेशन,https://nsap.nic.in,All States,National Social Assistance,राष्ट्रीय सामाजिक सहायता,राष्ट्रीय सामाजिक सहाय्य,See eligibility criteria,https://nsap.nic.in
S014,Mahatma Gandhi Scholarship,महात्मा गांधी छात्रवृत्ति,महात्मा गांधी शिष्यवृत्ती,Ministry of Education,Education,Merit scholarship for economically weak students,आर्थिक रूप से कमजोर छात्रों के लिए मेरिट छात्रवृत्ति,आर्थिकदृष्ट्या कमकुवत विद्यार्थ्यांसाठी गुणवत्ता शिष्यवृत्ती,15,25,200000,0.0,student,all,all,₹12000/year for higher education,उच्च शिक्षा के लिए ₹12000/वर्ष,उच्च शिक्षणासाठी ₹12000/वर्ष,https://scholarships.gov.in,All States,Mahatma Gandhi Scholarship,महात्मा गांधी छात्रवृत्ति,महात्मा गांधी शिष्यवृत्ती,See eligibility criteria,https://scholarships.gov.in
S015,PM Disability Pension,दिव्यांग पेंशन,अपंग निवृत्ती वेतन,Ministry of Social Justice,Disability,Monthly pension for persons with disabilities,विकलांग व्यक्तियों के लिए मासिक पेंशन,अपंग व्यक्तींसाठी मासिक निवृत्ती वेतन,18,80,100000,0.0,all,all,all,₹500-₹1000/month disability allowance medical support,₹500-₹1000/माह दिव्यांग भत्ता चिकित्सा सहायता,₹500-₹1000/महिना अपंग भत्ता वैद्यकीय सहाय्य,https://disabilityaffairs.gov.in,All States,PM Disability Pension,दिव्यांग पेंशन,अपंग निवृत्ती वेतन,See eligibility criteria,https://disabilityaffairs.gov.in
